ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,log1p_MntWines,log1p_MntFruits,log1p_MntMeatProducts,log1p_MntFishProducts,log1p_MntSweetProducts,log1p_MntGoldProds,Age,TenureMonths,Total_Spend,Total_Purchases,Share_Web,Share_Catalog,Share_Store,Web_Conversion,Campaign_Accepted_Any,Campaign_Accepted_Count
2079,1947,2n Cycle,Married,81044.0,0,0,2013-12-27,0,450,26,535,73.0,81,26.0,1,5,6,10,1,0,0,0,0,0,0,0,USA,6.111467339502679,3.295836866004329,6.284134161070802,4.30406509320417,4.406719247264253,3.295836866004329,78,144,1191.0,22,0.22727272727272727,0.2727272727272727,0.45454545454545453,5.0,0,0
5642,1979,Master,Together,62499.0,1,0,2013-12-09,0,140,4,61,0.0,13,4.0,2,3,1,6,4,0,0,0,0,0,0,0,Spain,4.948759890378168,1.6094379124341003,4.127134385045092,0.0,2.6390573296152584,1.6094379124341003,46,144,222.0,12,0.25,0.08333333333333333,0.5,0.75,0,0
10530,1959,PhD,Widow,67786.0,0,0,2013-12-07,0,431,81,441,80.0,20,102.0,1,3,6,6,1,0,0,0,0,0,1,0,India,6.068425588244111,4.406719247264253,6.091309882077698,4.394449154672439,3.044522437723423,4.634728988229636,66,145,1155.0,16,0.1875,0.375,0.375,3.0,1,1
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,3,10,8,3.0,16,32.0,1,1,1,2,6,0,0,0,0,0,0,0,Canada,1.3862943611198906,2.3978952727983707,2.1972245773362196,1.3862943611198906,2.833213344056216,3.4965075614664802,44,146,72.0,5,0.2,0.2,0.4,0.16666666666666666,0,0
10311,1969,Graduation,Married,4428.0,0,1,2013-10-05,0,16,4,12,2.0,4,126.5,0,12,0,0,1,0,0,0,0,0,0,0,Spain,2.833213344056216,1.6094379124341003,2.5649493574615367,1.0986122886681098,1.6094379124341003,4.848116364598481,56,147,164.5,12,1.0,0.0,0.0,12.0,0,0
837,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,63,6,57,13.0,13,22.0,4,2,1,5,4,0,0,0,0,0,0,0,Spain,4.1588830833596715,1.9459101490553132,4.060443010546419,2.6390573296152584,2.6390573296152584,3.1354942159291497,48,147,174.0,12,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.5,0,0
10521,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,63,6,57,13.0,13,22.0,4,2,1,5,4,0,0,0,0,0,1,0,Spain,4.1588830833596715,1.9459101490553132,4.060443010546419,2.6390573296152584,2.6390573296152584,3.1354942159291497,48,147,174.0,12,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.5,1,1
10175,1958,PhD,Divorced,32173.0,0,1,2013-08-01,0,18,0,2,0.0,0,2.0,1,1,0,3,4,0,0,0,0,0,0,0,Spain,2.9444389791664403,0.0,1.0986122886681098,0.0,0.0,1.0986122886681098,67,149,22.0,5,0.2,0.0,0.6,0.25,0,0
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2.0,1,10.0,2,2,0,3,8,0,0,0,0,0,0,0,Canada,3.9889840465642745,0.6931471805599453,1.791759469228055,1.0986122886681098,0.6931471805599453,2.3978952727983707,65,149,72.0,7,0.2857142857142857,0.0,0.42857142857142855,0.25,0,0
2795,1958,Master,Single,30523.0,2,1,2013-07-01,0,5,0,3,0.0,0,5.0,1,1,0,2,7,0,0,0,0,0,0,0,Canada,1.791759469228055,0.0,1.3862943611198906,0.0,0.0,1.791759469228055,67,150,13.0,4,0.25,0.0,0.5,0.14285714285714285,0,0
2285,1954,Master,Together,36634.0,0,1,2013-05-28,0,213,9,76,4.0,3,30.0,3,5,2,5,7,0,0,0,0,0,0,0,Saudi Arabia,5.365976015021851,2.302585092994046,4.343805421853684,1.6094379124341003,1.3862943611198906,3.4339872044851463,71,151,335.0,15,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.7142857142857143,0,0
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275,11,68,25.0,7,7.0,3,5,1,8,5,0,0,0,0,0,0,0,India,5.62040086571715,2.4849066497880004,4.23410650459726,3.258096538021482,2.0794415416798357,2.0794415416798357,59,153,393.0,17,0.29411764705882354,0.058823529411764705,0.47058823529411764,1.0,0,0
10470,1979,Master,Married,40662.0,1,0,2013-03-15,0,40,2,23,0.0,4,23.0,2,2,1,3,4,0,0,0,0,0,0,0,Germany,3.713572066704308,1.0986122886681098,3.1780538303479458,0.0,1.6094379124341003,3.1780538303479458,46,153,92.0,8,0.25,0.125,0.375,0.5,0,0
4065,1976,PhD,Married,49544.0,1,0,2013-02-12,0,308,0,73,0.0,0,23.0,2,5,1,8,7,0,0,0,0,0,0,0,Spain,5.733341276897746,0.0,4.30406509320417,0.0,0.0,3.1780538303479458,49,154,404.0,16,0.3125,0.0625,0.5,0.7142857142857143,0,0
10968,1969,Graduation,Single,57731.0,0,1,2012-11-23,0,266,21,300,65.0,8,44.0,4,8,8,6,6,0,0,0,0,0,0,0,India,5.58724865840025,3.091042453358316,5.707110264748875,4.189654742026425,2.1972245773362196,3.8066624897703196,56,157,704.0,26,0.3076923076923077,0.3076923076923077,0.23076923076923078,1.3333333333333333,0,0
5985,1965,Master,Single,33168.0,0,1,2012-10-13,0,80,1,37,0.0,1,3.0,3,2,1,4,7,0,0,0,0,0,0,0,Spain,4.394449154672439,0.6931471805599453,3.6375861597263857,0.0,0.6931471805599453,1.3862943611198906,60,158,122.0,10,0.2,0.1,0.4,0.2857142857142857,0,0
5430,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8.0,19,32.0,6,9,2,8,8,0,0,0,0,0,0,0,Spain,6.12029741895095,0.0,5.147494476813453,2.1972245773362196,2.995732273553991,3.4965075614664802,69,159,684.0,25,0.36,0.08,0.32,1.125,0,0
8432,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8.0,19,32.0,6,9,2,8,8,0,0,0,0,0,0,0,Spain,6.12029741895095,0.0,5.147494476813453,2.1972245773362196,2.995732273553991,3.4965075614664802,69,159,684.0,25,0.36,0.08,0.32,1.125,0,0
453,1956,PhD,Widow,35340.0,1,1,2014-06-29,1,27,0,12,0.0,1,5.0,2,2,0,3,5,0,0,0,0,0,0,0,Spain,3.332204510175204,0.0,2.5649493574615367,0.0,0.6931471805599453,1.791759469228055,69,138,45.0,7,0.2857142857142857,0.0,0.42857142857142855,0.4,0,0
9687,1975,Graduation,Single,73170.0,0,0,2014-05-31,1,184,81,256,50.0,30,32.0,1,5,4,6,2,0,0,0,0,0,0,0,Canada,5.220355825078324,4.406719247264253,5.54907608489522,3.9318256327243257,3.4339872044851463,3.4965075614664802,50,139,633.0,16,0.3125,0.25,0.375,2.5,0,0
8890,1971,PhD,Divorced,65808.0,1,1,2014-05-30,1,155,7,80,13.0,7,10.0,3,5,1,5,6,0,0,0,0,0,0,0,Spain,5.049856007249537,2.0794415416798357,4.394449154672439,2.6390573296152584,2.0794415416798357,2.3978952727983707,54,139,272.0,14,0.35714285714285715,0.07142857142857142,0.35714285714285715,0.8333333333333334,0,0
9264,1986,Graduation,Married,79529.0,0,0,2014-04-27,1,423,42,556,73.0,81,126.5,1,4,8,9,2,0,0,0,0,0,0,0,Canada,6.049733455231958,3.7612001156935624,6.322565239927284,4.30406509320417,4.406719247264253,4.848116364598481,39,140,1301.5,22,0.18181818181818182,0.36363636363636365,0.4090909090909091,2.0,0,0
5824,1972,PhD,Together,34578.0,2,1,2014-04-11,1,7,0,1,0.0,0,0.0,1,1,0,2,6,0,0,0,0,0,0,0,Australia,2.0794415416798357,0.0,0.6931471805599453,0.0,0.0,0.0,53,140,8.0,4,0.25,0.0,0.5,0.16666666666666666,0,0
5794,1974,PhD,Married,46374.0,0,1,2014-03-17,1,408,0,21,0.0,0,17.0,3,7,1,7,8,0,1,0,1,0,1,0,India,6.013715156042802,0.0,3.091042453358316,0.0,0.0,2.8903717578961645,51,141,446.0,18,0.3888888888888889,0.05555555555555555,0.3888888888888889,0.875,1,3
3068,1990,Graduation,Married,18351.0,0,0,2013-10-29,1,1,12,9,0.0,14,7.0,1,2,0,3,7,0,0,0,0,0,0,0,Spain,0.6931471805599453,2.5649493574615367,2.302585092994046,0.0,2.70805020110221,2.0794415416798357,35,146,43.0,6,0.3333333333333333,0.0,0.5,0.2857142857142857,0,0
7962,1987,PhD,Single,95169.0,0,0,2013-10-09,1,1225,21,449,106.0,20,20.0,1,4,3,4,1,0,0,1,1,0,1,0,Spain,7.111512116496157,3.091042453358316,6.1092475827643655,4.672828834461906,3.044522437723423,3.044522437723423,38,146,1841.0,12,0.3333333333333333,0.25,0.3333333333333333,4.0,1,3
2681,1984,2n Cycle,Married,65370.0,0,0,2013-08-01,1,71,22,112,120.5,81,29.0,1,2,3,13,1,0,0,0,0,0,0,0,Spain,4.276666119016055,3.1354942159291497,4.727387818712341,4.799914262780603,4.406719247264253,3.4011973816621555,41,149,435.5,19,0.10526315789473684,0.15789473684210525,0.6842105263157895,2.0,0,0
10141,1960,Master,Divorced,39228.0,0,0,2013-05-10,1,7,1,6,0.0,3,3.0,1,0,0,3,4,0,0,0,0,0,0,0,Saudi Arabia,2.0794415416798357,0.6931471805599453,1.9459101490553132,0.0,1.3862943611198906,1.3862943611198906,65,151,20.0,4,0.0,0.0,0.75,0.0,0,0
3725,1961,PhD,Single,84865.0,0,0,2013-05-09,1,1225,16,349,43.0,16,16.0,1,2,4,9,4,0,1,1,1,1,1,0,Spain,7.111512116496157,2.833213344056216,5.857933154483459,3.784189633918261,2.833213344056216,2.833213344056216,64,152,1665.0,16,0.125,0.25,0.5625,0.5,1,5
3767,1968,Graduation,Married,61314.0,0,1,2013-04-25,1,378,0,189,97.0,81,126.5,2,5,5,12,3,0,0,0,0,0,0,0,Spain,5.937536205082426,0.0,5.247024072160486,4.584967478670572,4.406719247264253,4.848116364598481,57,152,871.5,24,0.20833333333333334,0.20833333333333334,0.5,1.6666666666666667,0,0
5585,1972,Graduation,Single,21359.0,1,0,2013-04-20,1,12,2,17,6.0,1,10.0,2,2,0,3,8,0,0,0,0,0,1,0,Canada,2.5649493574615367,1.0986122886681098,2.8903717578961645,1.9459101490553132,0.6931471805599453,2.3978952727983707,53,152,48.0,7,0.2857142857142857,0.0,0.42857142857142855,0.25,1,1
7030,1955,PhD,Married,66465.0,0,1,2013-03-30,1,1200,0,204,38.0,29,14.0,3,11,9,12,6,0,0,0,1,0,0,0,Spain,7.0909098220799835,0.0,5.3230099791384085,3.6635616461296463,3.4011973816621555,2.70805020110221,70,153,1485.0,35,0.3142857142857143,0.2571428571428571,0.34285714285714286,1.8333333333333333,1,1
1524,1983,2n Cycle,Single,81698.0,0,0,2013-03-01,1,709,45,115,30.0,81,45.0,1,8,2,5,5,0,0,0,1,0,1,0,Spain,6.565264970035361,3.828641396489095,4.7535901911063645,3.4339872044851463,4.406719247264253,3.828641396489095,42,154,1025.0,16,0.5,0.125,0.3125,1.6,1,2
3657,1986,Graduation,Single,39146.0,1,0,2013-02-14,1,94,1,33,13.0,12,12.0,3,4,0,4,8,0,0,0,0,0,0,0,Spain,4.553876891600541,0.6931471805599453,3.5263605246161616,2.6390573296152584,2.5649493574615367,2.5649493574615367,39,154,165.0,11,0.36363636363636365,0.0,0.36363636363636365,0.5,0,0
5740,1970,2n Cycle,Divorced,25959.0,1,1,2013-02-14,1,4,2,12,7.0,5,26.0,2,1,2,2,6,0,0,0,0,0,1,0,Spain,1.6094379124341003,1.0986122886681098,2.5649493574615367,2.0794415416798357,1.791759469228055,3.295836866004329,55,154,56.0,7,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.16666666666666666,1,1
9595,1961,Graduation,Together,64260.0,0,0,2013-01-11,1,539,81,556,20.0,0,30.0,1,4,5,4,3,0,0,0,0,0,1,0,Spain,6.29156913955832,4.406719247264253,6.322565239927284,3.044522437723423,0.0,3.4339872044851463,64,155,1226.0,14,0.2857142857142857,0.35714285714285715,0.2857142857142857,1.3333333333333333,1,1
3158,1973,Graduation,Married,32300.0,1,0,2013-01-03,1,13,3,6,6.0,5,6.0,1,1,0,3,8,0,0,0,0,0,0,0,Spain,2.6390573296152584,1.3862943611198906,1.9459101490553132,1.9459101490553132,1.791759469228055,1.9459101490553132,52,156,39.0,5,0.2,0.0,0.6,0.125,0,0
5114,1965,Master,Married,74806.0,0,1,2012-12-19,1,670,9,249,0.0,28,9.0,2,5,4,5,4,0,0,0,0,0,0,0,Australia,6.508769136971682,2.302585092994046,5.521460917862246,0.0,3.367295829986474,2.302585092994046,60,156,965.0,16,0.3125,0.25,0.3125,1.25,0,0
340,1970,Graduation,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0.0,0,125.0,2,7,2,8,5,1,0,0,0,0,1,0,Germany,5.0689042022202315,3.58351893845611,5.19295685089021,0.0,0.0,4.836281906951478,55,156,497.0,19,0.3684210526315789,0.10526315789473684,0.42105263157894735,1.4,1,2
8805,1960,Graduation,Single,48904.0,0,1,2012-12-02,1,283,10,38,0.0,13,27.0,4,7,2,4,8,0,0,0,0,0,0,0,USA,5.648974238161206,2.3978952727983707,3.6635616461296463,0.0,2.6390573296152584,3.332204510175204,65,157,371.0,17,0.4117647058823529,0.11764705882352941,0.23529411764705882,0.875,0,0
1241,1984,2n Cycle,Married,14796.0,1,0,2012-09-17,1,13,3,8,7.0,4,16.0,2,1,0,3,9,0,0,0,0,0,1,0,Germany,2.6390573296152584,1.3862943611198906,2.1972245773362196,2.0794415416798357,1.6094379124341003,2.833213344056216,41,159,51.0,6,0.16666666666666666,0.0,0.5,0.1111111111111111,1,1
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,120.5,60,12.0,3,4,8,6,3,0,0,0,0,0,0,0,Germany,6.208590026096629,3.6109179126442243,6.133398042996649,4.799914262780603,4.110873864173311,2.5649493574615367,71,159,1184.5,21,0.19047619047619047,0.38095238095238093,0.2857142857142857,1.3333333333333333,0,0
7264,1978,2n Cycle,Single,52195.0,2,1,2014-05-12,2,12,0,4,0.0,0,1.0,1,1,0,2,8,0,0,0,0,0,0,0,Saudi Arabia,2.5649493574615367,0.0,1.6094379124341003,0.0,0.0,0.6931471805599453,47,139,17.0,4,0.25,0.0,0.5,0.125,0,0
1619,1956,Graduation,Married,90369.0,0,0,2014-04-28,2,292,51,556,120.5,23,17.0,1,4,6,6,1,0,0,0,0,0,1,0,Spain,5.680172609017068,3.9512437185814275,6.322565239927284,4.799914262780603,3.1780538303479458,2.8903717578961645,69,140,1059.5,17,0.23529411764705882,0.35294117647058826,0.35294117647058826,4.0,1,1
6398,1974,Basic,Married,18393.0,1,0,2014-03-29,2,7,10,13,16.0,0,4.0,2,3,0,3,8,0,0,0,0,0,0,0,Spain,2.0794415416798357,2.3978952727983707,2.6390573296152584,2.833213344056216,0.0,1.6094379124341003,51,141,50.0,8,0.375,0.0,0.375,0.375,0,0
1857,1952,Graduation,Single,47139.0,1,1,2014-03-06,2,46,0,12,0.0,2,23.0,2,2,1,2,7,0,0,0,0,0,1,0,Spain,3.8501476017100584,0.0,2.5649493574615367,0.0,1.0986122886681098,3.1780538303479458,73,142,83.0,7,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,1,1
4877,1973,Master,Married,38576.0,0,1,2014-03-04,2,34,0,7,0.0,0,0.0,1,1,0,3,7,0,0,0,0,0,0,0,India,3.5553480614894135,0.0,2.0794415416798357,0.0,0.0,0.0,52,142,41.0,5,0.2,0.0,0.6,0.14285714285714285,0,0
3066,1975,PhD,Together,61905.0,0,1,2014-02-04,2,167,0,43,6.0,2,13.0,2,4,2,4,5,0,0,0,0,0,0,0,Saudi Arabia,5.123963979403259,0.0,3.784189633918261,1.9459101490553132,1.0986122886681098,2.6390573296152584,50,143,231.0,12,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.8,0,0
10286,1962,Graduation,Married,83715.0,0,0,2014-02-03,2,318,8,407,120.5,35,8.0,1,2,8,13,0,0,0,0,0,0,0,0,Saudi Arabia,5.765191102784844,2.1972245773362196,6.0112671744041615,4.799914262780603,3.58351893845611,2.1972245773362196,63,143,896.5,24,0.08333333333333333,0.3333333333333333,0.5416666666666666,,0,0
1992,1964,Graduation,Married,60597.0,0,1,2014-01-01,2,522,0,257,32.0,16,66.0,4,2,2,8,7,0,0,0,1,0,1,0,Spain,6.259581464064923,0.0,5.552959584921617,3.4965075614664802,2.833213344056216,4.204692619390966,61,144,893.0,16,0.125,0.125,0.5,0.2857142857142857,1,2
4246,1982,Master,Single,6560.0,0,0,2013-12-12,2,67,11,26,4.0,3,126.5,0,1,0,1,17,0,0,0,0,0,0,0,Spain,4.219507705176107,2.4849066497880004,3.295836866004329,1.6094379124341003,1.3862943611198906,4.848116364598481,43,144,237.5,2,0.5,0.0,0.5,0.058823529411764705,0,0
10623,1961,Master,Together,48330.0,0,1,2013-11-15,2,28,0,4,0.0,0,0.0,1,1,0,3,5,0,0,0,0,0,0,0,Spain,3.367295829986474,0.0,1.6094379124341003,0.0,0.0,0.0,64,145,32.0,5,0.2,0.0,0.6,0.2,0,0
4867,1968,PhD,Single,38236.0,1,1,2013-09-20,2,58,0,18,2.0,0,10.0,4,3,0,4,7,0,0,0,0,0,0,0,Spain,4.07753744390572,0.0,2.9444389791664403,1.0986122886681098,0.0,2.3978952727983707,57,147,88.0,11,0.2727272727272727,0.0,0.36363636363636365,0.42857142857142855,0,0
3112,1977,Master,Married,22701.0,1,0,2013-09-05,2,2,4,9,0.0,4,5.0,1,1,0,3,5,0,0,0,0,0,0,0,Spain,1.0986122886681098,1.6094379124341003,2.302585092994046,0.0,1.6094379124341003,1.791759469228055,48,148,24.0,5,0.2,0.0,0.6,0.2,0,0
4865,1974,Master,Divorced,53367.0,1,1,2013-08-31,2,229,7,140,10.0,3,11.0,6,5,1,8,7,0,0,0,0,0,1,0,Australia,5.438079308923196,2.0794415416798357,4.948759890378168,2.3978952727983707,1.3862943611198906,2.4849066497880004,51,148,400.0,20,0.25,0.05,0.4,0.7142857142857143,1,1
6287,1986,Graduation,Together,34728.0,1,0,2013-07-30,2,14,0,16,0.0,0,6.0,1,1,1,2,6,0,0,0,0,0,1,0,Spain,2.70805020110221,0.0,2.833213344056216,0.0,0.0,1.9459101490553132,39,149,36.0,5,0.2,0.2,0.4,0.16666666666666666,1,1
4405,1956,Master,Married,63915.0,0,2,2013-07-30,2,622,7,115,30.0,0,15.0,2,6,3,12,5,0,0,0,0,0,0,0,Australia,6.434546518787453,2.0794415416798357,4.7535901911063645,3.4339872044851463,0.0,2.772588722239781,69,149,789.0,23,0.2608695652173913,0.13043478260869565,0.5217391304347826,1.2,0,0
5332,1960,2n Cycle,Married,82504.0,0,0,2013-07-27,2,362,50,431,120.5,35,54.0,1,3,6,7,1,0,0,0,0,0,0,0,India,5.8944028342648505,3.9318256327243257,6.068425588244111,4.799914262780603,3.58351893845611,4.007333185232471,65,149,1052.5,17,0.17647058823529413,0.35294117647058826,0.4117647058823529,3.0,0,0
1519,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3.0,3,3.0,3,3,0,3,8,0,0,0,0,0,1,0,Spain,3.6635616461296463,1.6094379124341003,3.1354942159291497,1.3862943611198906,1.3862943611198906,1.3862943611198906,53,150,73.0,9,0.3333333333333333,0.0,0.3333333333333333,0.375,1,1
9080,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3.0,3,3.0,3,3,0,3,8,0,0,0,0,0,0,0,Spain,3.6635616461296463,1.6094379124341003,3.1354942159291497,1.3862943611198906,1.3862943611198906,1.3862943611198906,53,150,73.0,9,0.3333333333333333,0.0,0.3333333333333333,0.375,0,0
1772,1975,PhD,Married,79174.0,0,0,2013-01-11,2,1074,37,518,120.5,81,126.5,1,5,6,7,2,0,0,1,1,0,1,0,Canada,6.980075940561763,3.6375861597263857,6.251903883165888,4.799914262780603,4.406719247264253,4.848116364598481,50,155,1957.0,19,0.2631578947368421,0.3157894736842105,0.3684210526315789,2.5,1,3
5341,1962,2n Cycle,Divorced,81975.0,0,1,2013-01-05,2,983,76,184,120.5,81,27.0,1,6,3,4,7,0,0,1,0,0,0,0,Saudi Arabia,6.891625897052253,4.343805421853684,5.220355825078324,4.799914262780603,4.406719247264253,3.332204510175204,63,156,1471.5,14,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.8571428571428571,1,1
5510,1977,Master,Married,43263.0,0,1,2012-11-21,2,262,6,61,0.0,10,102.0,3,5,2,6,5,0,0,0,0,0,0,0,Spain,5.572154032177765,1.9459101490553132,4.127134385045092,0.0,2.3978952727983707,4.634728988229636,48,157,441.0,16,0.3125,0.125,0.375,1.0,0,0
3887,1970,Graduation,Single,27242.0,1,0,2012-11-11,2,3,17,26,20.0,1,39.0,2,2,0,3,9,0,0,0,0,0,1,0,India,1.3862943611198906,2.8903717578961645,3.295836866004329,3.044522437723423,0.6931471805599453,3.6888794541139363,55,157,106.0,7,0.2857142857142857,0.0,0.42857142857142855,0.2222222222222222,1,1
7022,1971,Graduation,Married,76445.0,1,0,2012-09-28,2,739,81,309,120.5,80,35.0,1,2,5,13,6,0,0,0,0,0,0,0,Saudi Arabia,6.606650186198215,4.406719247264253,5.736572297479192,4.799914262780603,4.394449154672439,3.58351893845611,54,159,1364.5,21,0.09523809523809523,0.23809523809523808,0.6190476190476191,0.3333333333333333,0,0
9999,1965,Graduation,Together,75276.0,0,0,2012-09-27,2,610,81,125,120.5,42,21.0,1,9,4,9,5,0,0,0,0,0,0,0,Spain,6.415096959171596,4.406719247264253,4.836281906951478,4.799914262780603,3.7612001156935624,3.091042453358316,60,159,999.5,23,0.391304347826087,0.17391304347826086,0.391304347826087,1.8,0,0
10352,1963,Graduation,Widow,34213.0,1,1,2012-09-07,2,50,4,28,6.0,3,26.0,3,3,1,2,9,0,0,0,0,0,1,0,Saudi Arabia,3.9318256327243257,1.6094379124341003,3.367295829986474,1.9459101490553132,1.3862943611198906,3.295836866004329,62,160,117.0,9,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,1,1
7919,1976,PhD,Together,72335.0,0,0,2012-08-13,2,1225,81,556,28.0,21,0.0,1,10,4,8,8,0,0,0,0,0,1,0,Spain,7.111512116496157,4.406719247264253,6.322565239927284,3.367295829986474,3.091042453358316,0.0,49,160,1911.0,23,0.43478260869565216,0.17391304347826086,0.34782608695652173,1.25,1,1
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,556,27.0,81,32.0,1,6,9,13,3,0,0,0,0,0,0,0,Australia,6.478509642208569,3.6375861597263857,6.322565239927284,3.332204510175204,4.406719247264253,3.4965075614664802,61,160,1383.0,29,0.20689655172413793,0.3103448275862069,0.4482758620689655,2.0,0,0
7990,1947,Graduation,Married,27469.0,0,0,2012-08-02,2,9,1,2,3.0,2,0.0,1,0,0,3,6,0,0,0,0,0,0,0,Canada,2.302585092994046,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.0986122886681098,0.0,78,161,17.0,4,0.0,0.0,0.75,0.0,0,0
9888,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,458,81,356,106.0,50,40.0,1,4,4,7,2,0,0,0,0,0,0,0,Spain,6.129050210060545,4.406719247264253,5.877735781779639,4.672828834461906,3.9318256327243257,3.713572066704308,56,138,1091.0,16,0.25,0.25,0.4375,2.0,0,0
